2;2400
200;121200
48;30000
39;24600
177;107400
75;46200
38;24000
6;4800
162;98400
75;46200
88;54000
32;20400
107;65400
76;46800
139;84600
120;73200
117;71400
2;2400
165;100200
107;65400
58;36000
54;33600
126;76800
65;40200
170;103200
166;100800
94;57600
183;111000
31;19800
61;37800
16;10800
136;82800
15;10200
88;54000
71;43800
185;112200
15;10200
84;51600
25;16200
185;112200
144;87600
110;67200
63;39000
17;11400
57;35400
81;49800
87;53400
140;85200
16;10800
187;113400
36;22800
28;18000
23;15000
167;101400
141;85800
171;103800
133;81000
99;60600
183;111000
179;108600
143;87000
64;39600
60;37200
36;22800
44;27600
121;73800
27;17400
170;103200
7;5400
191;115800
166;100800
32;20400
19;12600
178;108000
60;37200
14;9600
183;111000
65;40200
61;37800
137;83400
16;10800
98;60000
170;103200
180;109200
176;106800
65;40200
99;60600
82;50400
117;71400
54;33600
109;66600
21;13800
6;4800
164;99600
22;14400
34;21600
151;91800
62;38400
90;55200
43;27000
64;39600
25;16200
